,height,gender
0,142.905550398609,Male
1,115.59871726669692,Male
2,138.0271869104502,Female
3,130.93924494180942,Male
4,125.079458464702,Female
5,145.80304667521108,Male
6,149.12524836629808,Male
7,161.7876399616563,Male
8,165.1984571410734,Male
9,166.59002569920176,Female
10,137.82273430370319,Female
11,140.1574867568439,Female
12,165.55604622283406,Female
13,138.85822304162713,Male
14,145.64284530241946,Male
15,136.43965014386205,Male
16,155.41355302099979,Male
17,143.9439691464283,Male
18,127.88984577899745,Female
19,137.861982120687,Female
20,155.70833664955708,Male
21,148.99707406170506,Male
22,164.35613250383471,Male
23,132.76119894120671,Male
24,140.36634673956382,Male
25,141.5715244365325,Female
26,186.28912682405675,Male
27,153.02771508079735,Male
28,141.9059435910007,Male
29,153.4217475059791,Female
30,175.13483842181608,Male
31,154.89025973476802,Male
32,119.19603625177248,Male
33,156.59707276787108,Male
34,146.22971950373307,Male
35,141.52518997267217,Male
36,160.69498716144392,Female
37,128.27574690439096,Male
38,154.3027717162269,Male
39,147.05957708753988,Male
40,168.03464737392983,Male
41,169.22406718457367,Male
42,144.3499455313585,Male
43,143.33214854075027,Female
44,149.07780360815948,Male
45,139.63997254103379,Male
46,125.9688657425472,Male
47,134.11968523960704,Male
48,132.0769603447078,Female
49,130.09614930690088,Male
50,150.41563031764588,Female
51,142.27615576395175,Male
52,146.7115712170287,Male
53,138.76273635369355,Male
54,145.70393160744283,Male
55,125.37999138254617,Female
56,161.244261436679,Male
57,158.50419959638435,Female
58,152.57585195099273,Female
59,147.85640560107282,Female
60,145.40050897053467,Female
61,129.0641725869614,Male
62,162.7909676416462,Male
63,157.97539522039133,Male
64,161.12529180689302,Female
65,146.3433870273021,Female
66,135.84036578012658,Male
67,120.1425887391033,Male
68,138.5167862698349,Male
69,169.04303617595582,Female
70,139.6019997345364,Male
71,132.71740654189452,Male
72,162.15169056787158,Female
73,141.65544875787356,Male
74,140.48602960819554,Male
75,141.94864738633038,Male
76,157.7777029175618,Male
77,162.8665345788765,Male
78,165.23600719224913,Male
79,125.91408358638785,Male
80,128.5122119632028,Female
81,135.94295016091044,Male
82,141.35156214331366,Male
83,120.51835819657995,Female
84,121.34872464487589,Female
85,162.8797463348891,Female
86,126.45984152130177,Male
87,122.65402757704337,Female
88,131.42436441586585,Male
89,126.56234885814858,Male
90,138.57349034526158,Male
91,150.74783535445428,Male
92,143.4765762069872,Female
93,127.11192245717561,Male
94,130.3694162970548,Female
95,141.18790072158956,Male
96,140.98506623734664,Male
97,125.46446788144613,Male
98,169.45568651086637,Female
99,124.30950693266126,Male
100,142.7900570656088,Male
101,154.9021266545845,Male
102,148.67901740089403,Male
103,125.69108596036703,Male
104,128.8873909452521,Male
105,135.63775100934623,Male
106,165.1406640548364,Male
107,119.51184850682476,Male
108,123.52027582358525,Female
109,125.48128216159,Female
110,130.28749440568254,Male
111,137.71461794102493,Male
112,146.50569708840476,Male
113,155.94108545063187,Female
114,139.215404206461,Male
115,132.8049632836759,Male
116,164.48007683250583,Male
117,160.06458965561674,Male
118,138.61687408658645,Female
119,155.91476001565505,Male
120,152.21311355348064,Male
121,124.66446701916075,Female
122,150.32280550130423,Male
123,158.2628308424941,Female
124,162.80074415403627,Male
125,134.47444091121557,Male
126,122.10129423450613,Female
127,124.33351489059176,Female
128,156.64435767905405,Male
129,169.02836664270097,Female
130,144.4931364766449,Male
131,169.15364310924076,Male
132,153.49974999696116,Female
133,142.55634307936845,Male
134,167.8899673413499,Male
135,138.73792504254462,Female
136,142.4942346226135,Male
137,134.98062830460503,Female
138,128.74201196471276,Male
139,160.07036812297264,Male
140,151.54150640772824,Male
141,148.69582276206083,Male
142,140.0120052340921,Female
143,140.60354179440813,Male
144,159.05311601312584,Male
145,166.45467583891914,Male
146,151.78788800789255,Male
147,145.04702110006573,Male
148,130.08666460894892,Male
149,142.19477790727717,Male
150,121.14147277587007,Male
151,125.17531782264602,Female
152,154.55223187727316,Male
153,156.09329869232468,Female
154,132.0684087418049,Female
155,172.52142214303157,Male
156,146.4618273494033,Male
157,169.55978954920988,Male
158,153.53487289797718,Male
159,132.39727234607898,Male
160,157.89302321108144,Male
161,149.21500292761795,Male
162,142.97056241382992,Male
163,135.3441618604366,Male
164,125.37914841753502,Male
165,145.96411320396635,Male
166,137.48821673401326,Female
167,149.78005970698183,Female
168,156.79389276640143,Female
169,140.43445335593444,Female
170,153.77485451971904,Male
171,155.49259999544518,Male
172,149.45421785418623,Male
173,142.8717650812911,Male
174,132.2785565586134,Male
175,158.75825758680313,Male
176,127.39166266179477,Male
177,154.92788406570122,Male
178,164.11437976680887,Female
179,145.77113085774656,Male
180,142.02170244686357,Male
181,151.10819877742557,Male
182,151.72676610876584,Female
183,166.04012740090292,Female
184,146.3015937067914,Female
185,118.90374844825345,Male
186,155.85859965210716,Male
187,138.65673929230033,Male
188,155.280245953518,Female
189,124.82567619125894,Male
190,147.4350581234654,Female
191,158.58154844880798,Female
192,166.99517069861187,Male
193,138.48351951429478,Male
194,127.51925126798602,Female
195,144.18697526876858,Male
196,155.63705378386786,Male
197,165.80703687207247,Male
198,137.12942239134156,Male
199,120.97871007103842,Female
200,153.6261206972523,Male
201,152.96792560223454,Male
202,128.45538765604883,Male
203,158.81205527031418,Male
204,130.59971571087695,Female
205,154.389170274896,Female
206,137.13233786188806,Male
207,136.29137722448257,Male
208,146.58014668191234,Male
209,125.2021344056031,Male
210,143.42378732407323,Male
211,166.17012723604262,Female
212,153.087684628264,Male
213,166.83310577311326,Female
214,144.44319314869904,Male
215,145.54582439229483,Male
216,141.6633540180981,Female
217,94.48510536872726,Male
218,146.5398642269734,Female
219,120.81338198416243,Female
220,135.857984118549,Male
221,157.8137599361716,Male
222,158.22678924310134,Female
223,156.75788873237795,Male
224,147.6289377416651,Male
225,164.54893197314522,Male
226,131.63169815975846,Female
227,147.90020626180626,Male
228,148.2940013260345,Male
229,159.31685816722114,Male
230,137.7444153598326,Male
231,158.1763803498231,Female
232,134.5167137760896,Male
233,158.8244544758724,Male
234,132.18846541033417,Male
235,129.22528461010785,Male
236,152.1782368780436,Female
237,142.55648818993888,Male
238,152.23103211436145,Male
239,152.56517022097523,Female
240,139.42053539154438,Female
241,144.66167749373597,Female
242,161.27837173919255,Female
243,144.61957094969932,Male
244,133.3932728044324,Male
245,134.40860961751198,Male
246,154.238813260395,Male
247,138.08946519023158,Male
248,120.60396842772286,Female
249,125.61010085893976,Female
250,163.58780286022244,Male
251,145.48057330857398,Male
252,158.84917212005143,Female
253,146.01454430261302,Female
254,136.19017587461286,Female
255,162.74408841745043,Male
256,162.21795885370162,Female
257,127.49650213598056,Female
258,156.14089075918199,Male
259,127.18145619307032,Male
260,141.6737955936904,Male
261,145.93436823033446,Male
262,154.89059594833802,Male
263,156.0319827997377,Male
264,137.13457868560536,Female
265,126.34189410047466,Female
266,157.78816589793246,Male
267,155.2333353215442,Male
268,142.99274822516298,Male
269,154.5019274324282,Female
270,149.72697263356335,Male
271,134.61823168489522,Female
272,139.59644929176636,Male
273,173.36669989417481,Male
274,126.82462049216436,Male
275,163.5726192142807,Female
276,151.10076184080205,Male
277,139.92815326650867,Female
278,127.44074003659408,Male
279,141.9421059256661,Female
280,147.25929562893023,Male
281,155.5618649745099,Male
282,148.39141867190557,Male
283,166.231244191205,Female
284,129.00636763670394,Male
285,158.82172542031535,Male
286,147.83483795647018,Male
287,116.99064227621321,Male
288,138.49742986307015,Male
289,123.80650706699124,Female
290,156.3729868437869,Male
291,126.86578384358751,Female
292,151.00482498876337,Male
293,141.004698385177,Female
294,123.954321854566,Female
295,167.28833849393064,Male
296,145.4967582512834,Male
297,168.98821630515044,Female
298,166.63856907932166,Male
299,151.49982323107741,Male
300,133.14522061018505,Female
301,156.8320039721027,Female
302,126.67736249811846,Male
303,150.99757744875816,Male
304,149.53024014115587,Male
305,145.8255995848413,Male
306,121.89353332856427,Male
307,163.7227984857226,Female
308,141.65138696218054,Female
309,148.3789117297249,Male
310,121.73762228383872,Male
311,148.87801520742488,Male
312,149.8244788327526,Male
313,139.98911764037092,Male
314,154.95208487297373,Male
315,142.64132822797913,Male
316,148.852797107189,Male
317,170.69759317185105,Male
318,148.97153638097467,Male
319,168.39592635206213,Female
320,154.31200641520695,Male
321,125.9183156836717,Female
322,160.2084014648528,Male
323,149.8222393949331,Male
324,150.06106824092055,Female
325,123.75704464422441,Male
326,141.06500981710101,Female
327,135.23959214909573,Male
328,136.77208274744902,Male
329,138.44091170354835,Male
330,151.52276595789442,Male
331,160.08319885561912,Male
332,152.68922415548917,Female
333,132.63271235425057,Male
334,132.9376215708234,Male
335,140.70635745638222,Male
336,116.11759779394508,Male
337,180.80015435978416,Male
338,148.36618353387013,Male
339,126.08487429658085,Female
340,142.35931752706472,Male
341,144.63347431421107,Male
342,128.51308988455284,Male
343,157.86868855328512,Male
344,148.7452704406276,Male
345,132.34736150285136,Male
346,144.19855999461547,Female
347,143.290383509569,Male
348,146.24306695992132,Male
349,156.2251244651552,Male
350,138.04412310996585,Male
351,175.22722231364395,Male
352,142.8838154338446,Male
353,147.79412144278461,Male
354,122.19247660402503,Male
355,161.45836686250942,Female
356,143.80678897877405,Male
357,172.51518428706947,Male
358,116.57884272193742,Male
359,150.56445907276762,Male
360,134.7698399548786,Female
361,150.6856265512583,Male
362,166.05106629815938,Female
363,154.2026943304379,Male
364,120.02428044431105,Male
365,178.31843395668935,Male
366,121.67348005627395,Female
367,144.02410729735465,Male
368,155.6694076474057,Male
369,120.17332061293597,Female
370,145.6043938675261,Male
371,157.44402876052945,Male
372,122.51242136883192,Male
373,161.90144191266185,Male
374,127.44405600974304,Female
375,172.57461199032377,Male
376,120.40246327626517,Male
377,162.73335115756177,Female
378,145.87167200460613,Male
379,137.56066713922806,Male
380,143.0924767270731,Male
381,162.49011143975204,Male
382,114.50914213750626,Male
383,134.36916735229062,Male
384,161.652080794916,Female
385,153.16299053853743,Male
386,158.48823806094845,Male
387,156.23893936555294,Male
388,125.46084631502424,Male
389,150.71703490904855,Male
390,142.63470568762514,Male
391,138.31949605895517,Male
392,139.28829342929592,Male
393,149.7241472451293,Female
394,116.46898071764917,Male
395,133.9663370279829,Male
396,124.65996469447624,Female
397,152.4356319692231,Male
398,154.72122467696698,Female
399,125.87920554974322,Male
400,153.4321654032891,Male
401,154.64920933781076,Male
402,125.79073955907224,Male
403,138.78647190635002,Male
404,151.6605801731869,Female
405,158.65064312929545,Male
406,162.48396255499904,Male
407,183.06108056340838,Male
408,137.1967817364175,Male
409,149.73545677222606,Male
410,155.1850078795654,Female
411,124.58583146547275,Male
412,144.7895646387371,Male
413,159.23309779065883,Male
414,157.37172714428291,Male
415,128.62858504311103,Male
416,134.16534194707532,Male
417,169.18054268104504,Female
418,148.92210086508607,Male
419,153.01705954783742,Male
420,170.80243739256676,Male
421,142.79789006445552,Male
422,146.0131645484942,Male
423,159.27607494351042,Female
424,168.72047164171957,Female
425,121.62256448205468,Male
426,164.2720807295733,Male
427,151.15629372428972,Female
428,140.08947863218896,Male
429,136.76537792170052,Male
430,148.02353680523606,Male
431,117.41564953355271,Male
432,154.870325830498,Male
433,149.17896575113505,Male
434,162.34695885194134,Female
435,128.21251405839354,Male
436,154.81295281305313,Female
437,132.5774804145858,Male
438,128.79496282347088,Female
439,130.33362385908276,Male
440,129.69495104198032,Female
441,161.90938670470038,Female
442,156.86264862994963,Female
443,165.8811861025673,Male
444,138.81604000923568,Male
445,120.58095204565242,Male
446,161.40889047565864,Female
447,163.91549604208694,Male
448,143.80383205499422,Male
449,139.5833106509682,Male
450,180.63889026104667,Male
451,112.57624041791824,Male
452,140.9004556725341,Male
453,149.53421642854528,Male
454,146.91743644553458,Male
455,127.84589167106911,Female
456,165.7915690948227,Male
457,140.56956907941375,Male
458,143.74648239415168,Female
459,152.13261794049947,Male
